name	state_id	postcode	latitude	longitude	variant_name	status
MAROOCHYDORE	QLD		-2.6656669999999998e+01	1.5308444000000000e+02		O
MARCUS BEACH	QLD		-2.6448329999999999e+01	1.5310111000000001e+02		O
KULUIN	QLD		-2.6656669999999998e+01	1.5305944000000000e+02		O
COOLUM BEACH	QLD		-2.6540559999999999e+01	1.5307306000000000e+02		O
CASTAWAYS BEACH	QLD		-2.6431664999999999e+01	1.5310112000000001e+02		O
TWIN WATERS	QLD		-2.6633610000000001e+01	1.5308139000000000e+02		O
BUDERIM	QLD		-2.6690000000000001e+01	1.5306778000000000e+02		O
ALEXANDRA HEADLAND	QLD		-2.6673330000000000e+01	1.5310111000000001e+02		O
WEST GLADSTONE	QLD		-2.3858333590000001e+01	1.5124610899999999e+02		O
TOOLOOA	QLD		-2.3882223130000000e+01	1.5126943969999999e+02		O
TELINA	QLD		-2.3888610839999998e+01	1.5125277710000000e+02		O
SUN VALLEY	QLD		-2.3875278470000001e+01	1.5125917050000001e+02		O
SOUTH TREES	QLD		-2.3890556340000000e+01	1.5130194090000001e+02		O
SOUTH GLADSTONE	QLD		-2.3861944200000000e+01	1.5126721190000001e+02		O
O'CONNELL	QLD		-2.3928888319999999e+01	1.5126971440000000e+02		O
NEW AUCKLAND	QLD		-2.3887500760000002e+01	1.5123722839999999e+02		O
KIRKWOOD	QLD		-2.3898611070000001e+01	1.5123777770000001e+02		O
KIN KORA	QLD		-2.3878610609999999e+01	1.5124639890000000e+02		O
GLEN EDEN	QLD		-2.3901943209999999e+01	1.5126721190000001e+02		O
ELLEN GROVE	QLD		-2.7613890000000001e+01	1.5294223000000000e+02		O
WARANA	QLD		-2.6720001220000000e+01	1.5313139340000001e+02		O
MOFFAT BEACH	QLD		-2.6793333050000001e+01	1.5313861080000001e+02		O
MINYAMA	QLD		-2.6696109770000000e+01	1.5312194819999999e+02		O
LITTLE MOUNTAIN	QLD		-2.6785554890000000e+01	1.5309277340000000e+02		O
KINGS BEACH	QLD		-2.6801942830000002e+01	1.5314361570000000e+02		O
DICKY BEACH	QLD		-2.6783887860000000e+01	1.5313555909999999e+02		O
CURRIMUNDI	QLD		-2.6765832899999999e+01	1.5312222290000000e+02		O
CALOUNDRA WEST	QLD		-2.6806110380000000e+01	1.5310223389999999e+02		O
CALOUNDRA	QLD		-2.6797498699999998e+01	1.5312805180000001e+02		O
BUDDINA	QLD		-2.6693887709999998e+01	1.5313278199999999e+02		O
BOKARINA	QLD		-2.6738889690000001e+01	1.5312944030000000e+02		O
BIRTINYA	QLD		-2.6745277410000000e+01	1.5311584470000000e+02		O
BATTERY HILL	QLD		-2.6779167180000002e+01	1.5312916559999999e+02		O
AROONA	QLD		-2.6783054350000000e+01	1.5311694340000000e+02		O
KEPNOCK	QLD		-2.4876110000000001e+01	1.5237611000000001e+02		O
BUNDABERG SOUTH	QLD		-2.4871939999999999e+01	1.5235944000000001e+02		O
BUNDABERG EAST	QLD		-2.4859439999999999e+01	1.5237472000000000e+02		O
CABOOLTURE	QLD		-2.7067222600000001e+01	1.5297444150000001e+02		O
REGENTS PARK	QLD		-2.7676666260000001e+01	1.5304194640000000e+02		O
BROWNS PLAINS	QLD		-2.7661109920000001e+01	1.5305139159999999e+02		O
COLLINGWOOD PARK	QLD		-2.7623056410000000e+01	1.5285610960000000e+02		O
EBBW VALE	QLD		-2.7607778549999999e+01	1.5282527160000001e+02		O
BUNDAMBA	QLD		-2.7604444500000000e+01	1.5280917360000001e+02		O
STRETTON	QLD		-2.7623611000000000e+01	1.5306805399999999e+02		O
KARAWATHA	QLD		-2.7632223000000000e+01	1.5308305400000000e+02		O
DREWVALE	QLD		-2.7648610999999999e+01	1.5305471800000001e+02		O
BURPENGARY EAST	QLD		-2.7144439999999999e+01	1.5300028000000000e+02		O
BURPENGARY	QLD		-2.7155556000000001e+01	1.5296110500000000e+02		O
WEST MACKAY	QLD		-2.1152780000000000e+01	1.4916249999999999e+02		O
SOUTH MACKAY	QLD		-2.1165279999999999e+01	1.4918110999999999e+02		O
SLADE POINT	QLD		-2.1085280000000001e+01	1.4921167000000000e+02		O
SHOAL POINT	QLD		-2.1016670000000001e+01	1.4914222000000001e+02		O
RURAL VIEW	QLD		-2.1066109999999998e+01	1.4915971999999999e+02		O
RICHMOND (MACKAY CITY)	QLD		-2.1097220000000000e+01	1.4913000000000000e+02		O
RACECOURSE	QLD		-2.1157499999999999e+01	1.4913999999999999e+02		O
PAGET	QLD		-2.1184719999999999e+01	1.4916444000000001e+02		O
OORALEA	QLD		-2.1178329999999999e+01	1.4914332999999999e+02		O
NORTH MACKAY	QLD		-2.1121670000000002e+01	1.4917832999999999e+02		O
MOUNT PLEASANT (MACKAY CITY)	QLD		-2.1116940000000000e+01	1.4915806000000001e+02		O
MACKAY	QLD		-2.1144720000000000e+01	1.4918194000000000e+02		O
GLENELLA	QLD		-2.1120000000000001e+01	1.4914027999999999e+02		O
EIMEO	QLD		-2.1049440000000001e+01	1.4917305999999999e+02		O
EAST MACKAY	QLD		-2.1149999999999999e+01	1.4919972000000001e+02		O
DOLPHIN HEADS	QLD		-2.1041110000000000e+01	1.4918250000000000e+02		O
BUCASIA	QLD		-2.1035830000000001e+01	1.4914555999999999e+02		O
BLACKS BEACH	QLD		-2.1062780000000000e+01	1.4918778000000000e+02		O
BEACONSFIELD	QLD		-2.1088889999999999e+01	1.4916694600000000e+02		O
ALEXANDRA	QLD		-2.1158054000000000e+01	1.4909027100000000e+02		O
GLADSTONE CENTRAL	QLD		-2.3841667180000002e+01	1.5124806210000000e+02		O
CLINTON	QLD		-2.3877500529999999e+01	1.5122027589999999e+02		O
CALLEMONDAH	QLD		-2.3842779159999999e+01	1.5121415709999999e+02		O
BYELLEE	QLD		-2.3872499470000001e+01	1.5119667050000001e+02		O
BARNEY POINT	QLD		-2.3846389769999998e+01	1.5126638790000001e+02		O
PIALBA	QLD		-2.5280280000000001e+01	1.5283167000000000e+02		O
POINT VERNON	QLD		-2.5253889999999998e+01	1.5281778000000000e+02		O
KAWUNGAN	QLD		-2.5306670000000000e+01	1.5284693999999999e+02		O
ELI WATERS	QLD		-2.5276109999999999e+01	1.5280389000000000e+02		O
DUNDOWRAN BEACH	QLD		-2.5274719999999999e+01	1.5276777999999999e+02		O
SCARNESS	QLD		-2.5289999999999999e+01	1.5285389000000001e+02		O
WONDUNNA	QLD		-2.5315000000000001e+01	1.5286082999999999e+02		O
URRAWEEN	QLD		-2.5295559999999998e+01	1.5282194000000001e+02		O
URANGAN	QLD		-2.5302499999999998e+01	1.5288861000000000e+02		O
TORQUAY	QLD		-2.5291390000000000e+01	1.5287333000000001e+02		O
PETRIE TERRACE	QLD		-2.7459446000000000e+01	1.5301333600000001e+02		O
