region_id,Median_age_persons,Median_mortgage_repay_monthly,Median_Tot_prsnl_inc_weekly,Median_rent_weekly_,Median_Tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_Tot_hhd_inc_weekly,Average_household_size
UCL114009,44,1062,396,165,883,1.1,693,2.2
UCL114010,39,1300,478,200,1180,1.1,888,2.4
UCL114011,34,2400,697,355,1977,1.1,1799,3.0
UCL114012,39,1192,450,180,942,1.1,760,2.3
UCL114013,37,1304,500,170,1201,1.1,925,2.4
UCL114014,39,1972,615,370,1452,1.1,1297,2.7
UCL114015,34,1768,652,260,1629,1.1,1511,2.9
UCL114016,53,1500,485,230,993,1.1,853,2.1
UCL114017,35,1300,557,160,1248,1.1,1021,2.4
UCL114018,41,1733,532,250,1242,1.1,992,2.4
UCL114019,37,1733,507,240,1361,1.1,1023,2.4
UCL114020,42,1700,417,250,964,1.1,786,2.4
UCL114021,53,1408,371,180,798,1.1,625,2.0
UCL114022,37,1300,526,150,1224,1.1,963,2.4
UCL114023,38,2167,481,350,1195,1.1,1036,2.6
UCL114024,51,1950,475,280,1089,1.0,872,2.2
UCL114025,38,1733,568,200,1491,1.1,1096,2.4
UCL114026,45,1343,377,225,847,1.1,711,2.3
UCL114027,43,1600,455,260,1104,1.1,937,2.5
UCL114028,39,1387,462,180,1198,1.1,918,2.4
UCL114029,40,1517,404,240,908,1.1,752,2.4
UCL114030,53,1517,395,255,852,1.1,725,2.1
UCL114031,51,1517,455,195,1002,1.1,821,2.2
UCL114032,39,1733,618,245,1541,1.1,1215,2.5
UCL114033,38,1250,423,188,943,1.1,751,2.3
UCL115001,36,1600,586,210,1565,1.1,1370,2.5
UCL115002,48,1517,472,270,1094,1.1,854,2.2
UCL115003,37,1800,494,300,1221,1.1,1067,2.7
UCL115004,32,2167,673,310,1797,1.1,1640,3.1
UCL115005,51,1387,417,260,910,1.1,761,2.2
UCL115006,44,867,447,135,1054,1.1,838,2.3
UCL115007,40,1517,527,440,1300,1.1,986,2.6
UCL115008,37,2029,575,270,1483,1.1,1267,2.8
UCL115009,55,1300,385,145,914,1.0,711,2.1
UCL115010,44,1473,504,190,1127,1.1,955,2.3
UCL115011,55,867,348,120,753,1.1,563,2.0
UCL115012,45,1382,388,230,986,1.1,884,2.5
UCL115013,47,907,402,145,935,1.1,698,2.2
UCL115014,41,1300,439,188,1002,1.1,795,2.3
UCL115015,41,1365,431,275,948,1.1,801,2.4
UCL115016,53,1291,376,200,834,1.1,647,2.1
UCL115017,51,1767,518,290,1238,1.0,985,2.3
UCL115018,59,737,350,140,754,1.1,581,2.0
UCL115019,47,1600,529,248,1180,1.0,924,2.1
UCL115020,39,1300,487,175,1239,1.1,990,2.5
UCL115021,40,2000,566,310,1570,1.1,1392,2.8
UCL115022,44,1083,466,150,1003,1.1,884,2.2
UCL115023,44,1690,475,320,1107,1.1,976,2.6
UCL115024,47,899,423,153,1052,1.1,720,2.3
UCL115025,34,867,615,120,1283,1.1,1115,2.5
UCL115026,36,2000,720,335,1660,1.1,1555,2.9
UCL115027,42,867,346,150,715,1.2,613,2.4
UCL115028,45,1387,476,235,1166,1.1,823,2.3
UCL115029,32,1863,598,300,1747,1.1,1635,2.8
UCL115030,48,1546,490,225,1143,1.1,888,2.3
UCL115031,50,2000,439,270,858,1.1,662,2.0
UCL115032,48,1083,395,185,956,1.1,776,2.3
UCL115033,54,1700,480,250,1070,1.0,873,2.2
UCL115034,46,2000,593,365,1601,1.1,1336,2.5
UCL115035,35,2253,988,400,2315,1.0,2131,2.9
UCL115036,30,1950,652,265,1521,1.1,1379,3.0
UCL115037,42,1733,486,380,1078,1.1,870,2.2
UCL115038,45,1606,412,270,948,1.1,820,2.5
UCL115039,39,1700,589,300,1809,1.0,1607,3.1
UCL115040,46,1000,394,150,937,1.1,679,2.2
UCL115041,35,1400,660,150,1782,1.1,1421,2.4
UCL115042,36,1820,561,285,1386,1.1,1300,2.9
UCL115043,39,867,444,130,972,1.1,815,2.4
UCL115044,44,1300,480,180,1143,1.1,880,2.4
UCL115045,45,870,384,150,851,1.1,663,2.3
UCL115046,39,758,423,130,966,1.1,773,2.4
UCL115047,37,1116,414,210,956,1.1,773,2.6
UCL115048,38,1690,515,300,1105,1.1,934,2.6
UCL115049,49,1127,442,175,1098,1.1,762,2.2
UCL115050,51,1517,411,220,927,1.1,755,2.2
UCL115051,44,1127,390,150,923,1.1,761,2.4
UCL115052,57,1300,382,200,818,1.1,695,2.1
UCL115053,38,1560,517,260,1489,1.1,1139,2.3
UCL115054,48,1083,370,185,839,1.1,665,2.2
UCL115055,36,2000,651,265,1755,1.1,1716,3.1
UCL115056,46,1257,410,200,1016,1.1,757,2.3
UCL115057,46,1430,411,178,971,1.1,782,2.3
UCL115058,23,1733,368,285,1647,1.1,1362,2.8
UCL115059,49,1309,394,225,890,1.1,697,2.1
UCL115060,58,1600,459,270,926,1.0,805,2.0
UCL115061,49,867,425,135,938,1.1,727,2.1
UCL115062,24,1300,697,215,1329,1.1,1203,2.7
UCL115063,41,1164,400,210,904,1.1,810,2.7
